Catégorie : Toutes les catégories

Mois,grippe: (Alsace),grippe -aviaire -vaccin: (Alsace),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Alsace)
2004-01,5,4,4
2004-02,6,5,5
2004-03,2,2,2
2004-04,2,2,2
2004-05,1,1,1
2004-06,2,2,2
2004-07,2,2,2
2004-08,3,2,2
2004-09,1,1,1
2004-10,2,1,1
2004-11,3,2,2
2004-12,4,4,4
2005-01,3,3,3
2005-02,4,3,3
2005-03,2,2,2
2005-04,3,2,2
2005-05,1,1,1
2005-06,1,1,1
2005-07,1,1,1
2005-08,2,1,1
2005-09,7,3,3
2005-10,26,5,5
2005-11,9,3,3
2005-12,4,2,2
2006-01,13,4,4
2006-02,23,6,6
2006-03,16,4,4
2006-04,4,2,2
2006-05,3,2,2
2006-06,2,1,1
2006-07,2,1,1
2006-08,2,1,1
2006-09,1,1,1
2006-10,4,2,2
2006-11,4,2,2
2006-12,5,3,3
2007-01,5,3,3
2007-02,6,4,4
2007-03,2,2,2
2007-04,1,1,1
2007-05,1,0,0
2007-06,2,1,1
2007-07,3,1,1
2007-08,2,1,1
2007-09,2,1,1
2007-10,4,3,3
2007-11,4,2,2
2007-12,3,2,2
2008-01,7,6,5
2008-02,4,3,3
2008-03,2,1,1
2008-04,1,1,1
2008-05,0,1,1
2008-06,0,0,0
2008-07,0,0,0
2008-08,0,0,0
2008-09,2,1,1
2008-10,2,2,2
2008-11,1,1,1
2008-12,4,4,4
2009-01,6,6,5
2009-02,3,3,3
2009-03,1,1,1
2009-04,21,20,4
2009-05,20,20,5
2009-06,13,13,3
2009-07,21,19,5
2009-08,33,30,8
2009-09,59,54,14
2009-10,27,23,6
2009-11,100,79,14
2009-12,67,57,9
2010-01,11,9,3
2010-02,4,3,1
2010-03,2,2,1
2010-04,2,2,1
2010-05,1,1,0
2010-06,2,1,0
2010-07,1,0,0
2010-08,1,1,0
2010-09,2,2,1
2010-10,3,2,2
2010-11,3,2,1
2010-12,4,3,3
2011-01,9,9,7
2011-02,7,7,6
2011-03,2,2,2
2011-04,2,2,1
2011-05,1,1,1
2011-06,1,0,0
2011-07,1,1,1
2011-08,1,1,0
2011-09,2,1,1
2011-10,2,1,1
2011-11,2,2,2
2011-12,2,2,2
2012-01,3,2,2
2012-02,6,6,6
2012-03,4,4,3
2012-04,1,1,1
2012-05,1,1,1
2012-06,1,1,1
2012-07,1,1,1
2012-08,1,1,0
2012-09,2,1,1
2012-10,3,2,2
2012-11,2,2,2
2012-12,4,4,3
2013-01,7,7,6
2013-02,10,10,9
2013-03,4,4,3
2013-04,2,1,1
2013-05,1,1,1
2013-06,1,1,1
2013-07,1,1,1
2013-08,1,1,1
2013-09,1,1,1
2013-10,3,2,1
2013-11,2,2,2
2013-12,2,2,2
2014-01,3,3,3
2014-02,5,5,4
2014-03,3,3,3
2014-04,1,1,1
2014-05,1,1,1
2014-06,1,1,1
2014-07,1,1,1
2014-08,1,1,1
2014-09,2,1,1
2014-10,4,2,2
2014-11,3,2,2
2014-12,5,4,3
2015-01,8,8,7
2015-02,20,20,19
2015-03,6,6,6
2015-04,2,2,2
2015-05,1,1,1
2015-06,1,1,1
2015-07,1,1,1
2015-08,1,1,1
2015-09,2,2,1
2015-10,4,2,2
2015-11,3,2,2
2015-12,4,3,2
2016-01,4,4,3
2016-02,7,7,6
2016-03,12,12,11
2016-04,4,4,4
2016-05,1,1,1
2016-06,1,1,1
2016-07,1,1,1
2016-08,1,1,1
2016-09,2,1,1
2016-10,4,3,3
