Catégorie : Toutes les catégories

Mois,grippe: (Auvergne),grippe -aviaire -vaccin: (Auvergne),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Auvergne)
2004-01,3,0,0
2004-02,5,5,5
2004-03,5,5,5
2004-04,5,5,5
2004-05,2,2,2
2004-06,3,2,2
2004-07,3,2,2
2004-08,4,2,2
2004-09,3,2,2
2004-10,6,2,2
2004-11,4,4,4
2004-12,3,2,2
2005-01,3,2,2
2005-02,9,7,7
2005-03,2,3,3
2005-04,3,3,3
2005-05,1,1,1
2005-06,2,1,1
2005-07,3,1,1
2005-08,8,1,1
2005-09,10,2,2
2005-10,34,10,9
2005-11,11,3,3
2005-12,6,1,1
2006-01,10,4,3
2006-02,32,11,10
2006-03,20,4,4
2006-04,6,3,3
2006-05,7,2,2
2006-06,2,1,1
2006-07,5,2,2
2006-08,3,1,1
2006-09,1,1,1
2006-10,3,1,1
2006-11,3,2,2
2006-12,4,3,3
2007-01,5,4,3
2007-02,8,5,5
2007-03,2,1,1
2007-04,2,1,1
2007-05,1,0,0
2007-06,1,0,0
2007-07,2,0,0
2007-08,2,1,1
2007-09,2,3,3
2007-10,4,2,2
2007-11,4,2,2
2007-12,3,2,2
2008-01,8,6,6
2008-02,5,5,5
2008-03,3,2,2
2008-04,1,1,1
2008-05,1,0,0
2008-06,1,1,1
2008-07,1,1,1
2008-08,0,0,0
2008-09,1,1,1
2008-10,2,1,1
2008-11,2,1,1
2008-12,2,2,2
2009-01,8,8,8
2009-02,2,2,2
2009-03,1,1,1
2009-04,21,19,3
2009-05,24,22,5
2009-06,14,13,3
2009-07,25,22,6
2009-08,40,38,10
2009-09,67,63,14
2009-10,29,26,5
2009-11,100,80,12
2009-12,83,69,14
2010-01,13,12,4
2010-02,5,5,1
2010-03,4,3,1
2010-04,3,2,1
2010-05,1,1,1
2010-06,2,1,1
2010-07,1,1,1
2010-08,1,1,0
2010-09,2,2,1
2010-10,3,1,1
2010-11,3,2,2
2010-12,4,3,3
2011-01,12,12,9
2011-02,10,9,8
2011-03,2,2,1
2011-04,1,1,1
2011-05,2,2,2
2011-06,1,1,1
2011-07,1,1,1
2011-08,0,0,1
2011-09,2,2,1
2011-10,2,1,1
2011-11,2,2,1
2011-12,3,3,2
2012-01,5,4,4
2012-02,8,7,7
2012-03,8,7,6
2012-04,3,3,3
2012-05,1,1,1
2012-06,2,2,1
2012-07,1,1,1
2012-08,1,1,1
2012-09,2,1,1
2012-10,4,2,2
2012-11,3,1,1
2012-12,5,5,4
2013-01,12,11,10
2013-02,17,16,15
2013-03,5,5,5
2013-04,3,3,2
2013-05,2,1,1
2013-06,1,1,1
2013-07,1,1,1
2013-08,1,1,1
2013-09,2,1,1
2013-10,4,2,2
2013-11,4,3,3
2013-12,4,3,3
2014-01,5,5,5
2014-02,12,11,10
2014-03,3,3,3
2014-04,1,1,1
2014-05,1,1,1
2014-06,1,1,1
2014-07,1,1,1
2014-08,1,1,1
2014-09,1,1,1
2014-10,4,3,2
2014-11,3,2,2
2014-12,5,4,4
2015-01,13,12,12
2015-02,23,22,21
2015-03,8,8,8
2015-04,2,2,2
2015-05,1,1,1
2015-06,2,1,1
2015-07,0,0,0
2015-08,0,1,1
2015-09,2,2,2
2015-10,4,2,2
2015-11,5,2,2
2015-12,5,4,4
2016-01,6,5,5
2016-02,10,10,9
2016-03,15,15,14
2016-04,8,7,7
2016-05,3,2,2
2016-06,1,1,1
2016-07,1,1,0
2016-08,1,0,0
2016-09,1,1,1
2016-10,6,3,3
