Catégorie : Toutes les catégories

Mois,grippe: (Champagne-Ardenne),grippe -aviaire -vaccin: (Champagne-Ardenne),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Champagne-Ardenne)
2004-01,8,8,8
2004-02,8,8,8
2004-03,8,8,8
2004-04,8,8,8
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,4,4,4
2004-11,3,4,4
2004-12,5,4,4
2005-01,6,5,5
2005-02,7,5,5
2005-03,5,5,5
2005-04,2,2,2
2005-05,2,2,2
2005-06,2,2,2
2005-07,3,2,2
2005-08,5,3,3
2005-09,4,2,2
2005-10,23,2,2
2005-11,6,4,4
2005-12,5,5,5
2006-01,9,4,4
2006-02,20,7,7
2006-03,23,5,5
2006-04,12,2,2
2006-05,3,1,1
2006-06,2,1,1
2006-07,2,1,1
2006-08,1,1,1
2006-09,2,2,2
2006-10,4,2,2
2006-11,4,2,2
2006-12,3,2,2
2007-01,4,3,3
2007-02,7,3,3
2007-03,2,1,1
2007-04,1,1,1
2007-05,3,1,1
2007-06,2,1,1
2007-07,2,1,1
2007-08,1,1,1
2007-09,3,1,1
2007-10,4,3,3
2007-11,2,1,1
2007-12,3,2,1
2008-01,5,4,4
2008-02,5,4,4
2008-03,2,2,2
2008-04,2,1,1
2008-05,1,1,1
2008-06,1,2,2
2008-07,1,1,1
2008-08,1,1,1
2008-09,1,1,1
2008-10,2,1,1
2008-11,2,2,2
2008-12,4,3,3
2009-01,8,7,7
2009-02,3,2,2
2009-03,1,1,1
2009-04,18,17,3
2009-05,18,17,5
2009-06,14,14,4
2009-07,23,22,6
2009-08,37,35,9
2009-09,63,58,15
2009-10,32,29,7
2009-11,100,81,13
2009-12,72,59,12
2010-01,18,17,3
2010-02,4,3,1
2010-03,3,2,1
2010-04,2,2,1
2010-05,2,1,1
2010-06,2,2,1
2010-07,1,1,1
2010-08,1,1,1
2010-09,3,3,3
2010-10,2,1,1
2010-11,2,1,1
2010-12,5,4,3
2011-01,10,9,8
2011-02,5,5,4
2011-03,1,1,1
2011-04,2,2,1
2011-05,1,1,1
2011-06,1,1,1
2011-07,0,0,0
2011-08,0,0,0
2011-09,2,1,1
2011-10,2,2,2
2011-11,3,2,2
2011-12,2,2,2
2012-01,2,2,2
2012-02,7,6,5
2012-03,4,4,4
2012-04,1,1,1
2012-05,1,1,1
2012-06,1,1,1
2012-07,1,1,1
2012-08,1,1,1
2012-09,2,1,1
2012-10,3,2,2
2012-11,3,2,2
2012-12,6,5,5
2013-01,8,8,7
2013-02,11,11,10
2013-03,3,3,3
2013-04,2,2,2
2013-05,2,2,2
2013-06,1,1,1
2013-07,1,1,1
2013-08,1,1,1
2013-09,1,1,1
2013-10,3,2,2
2013-11,2,2,1
2013-12,2,2,2
2014-01,3,2,2
2014-02,5,5,5
2014-03,4,3,3
2014-04,1,1,1
2014-05,1,1,1
2014-06,0,0,0
2014-07,1,1,1
2014-08,0,0,0
2014-09,2,2,1
2014-10,4,2,2
2014-11,4,3,3
2014-12,4,3,3
2015-01,8,7,7
2015-02,19,18,16
2015-03,4,4,4
2015-04,2,2,1
2015-05,1,1,1
2015-06,1,1,1
2015-07,1,1,1
2015-08,1,1,1
2015-09,2,2,1
2015-10,4,2,2
2015-11,3,2,2
2015-12,4,2,2
2016-01,5,4,3
2016-02,7,7,7
2016-03,14,14,13
2016-04,5,4,4
2016-05,1,1,1
2016-06,1,1,1
2016-07,1,1,1
2016-08,1,1,1
2016-09,2,2,2
2016-10,3,2,2
