Catégorie : Toutes les catégories

Mois,grippe: (Corse),grippe -aviaire -vaccin: (Corse),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Corse)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,69,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,0,0
2004-12,52,0,0
2005-01,36,0,0
2005-02,36,0,0
2005-03,36,0,0
2005-04,0,0,0
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,31,0,0
2005-11,46,0,0
2005-12,62,0,0
2006-01,78,0,0
2006-02,93,0,0
2006-03,55,0,0
2006-04,30,0,0
2006-05,30,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,0,0
2006-09,0,0,0
2006-10,0,0,0
2006-11,20,0,0
2006-12,0,0,0
2007-01,0,0,0
2007-02,0,0,0
2007-03,0,0,0
2007-04,0,0,0
2007-05,0,0,0
2007-06,0,0,0
2007-07,0,0,0
2007-08,0,0,0
2007-09,0,0,0
2007-10,0,0,0
2007-11,17,0,0
2007-12,17,0,0
2008-01,18,0,0
2008-02,16,0,0
2008-03,16,0,0
2008-04,18,0,0
2008-05,19,0,0
2008-06,21,0,0
2008-07,22,0,0
2008-08,17,0,0
2008-09,17,0,0
2008-10,14,0,0
2008-11,15,0,0
2008-12,16,0,0
2009-01,17,0,0
2009-02,20,0,0
2009-03,23,0,0
2009-04,27,0,0
2009-05,29,0,0
2009-06,17,0,0
2009-07,45,0,0
2009-08,49,0,0
2009-09,57,0,0
2009-10,22,0,0
2009-11,100,0,0
2009-12,67,0,0
2010-01,33,0,0
2010-02,0,0,0
2010-03,0,0,0
2010-04,0,0,0
2010-05,0,0,0
2010-06,0,0,0
2010-07,0,0,0
2010-08,0,0,0
2010-09,24,0,0
2010-10,10,0,0
2010-11,10,0,0
2010-12,10,0,0
2011-01,10,0,0
2011-02,6,0,0
2011-03,5,0,0
2011-04,5,0,0
2011-05,2,0,0
2011-06,3,0,0
2011-07,3,0,0
2011-08,3,0,0
2011-09,5,0,0
2011-10,7,0,0
2011-11,3,0,0
2011-12,4,0,0
2012-01,6,0,0
2012-02,9,0,0
2012-03,5,0,0
2012-04,5,0,0
2012-05,7,0,0
2012-06,4,0,0
2012-07,4,0,0
2012-08,4,0,0
2012-09,4,0,0
2012-10,5,0,0
2012-11,7,0,0
2012-12,5,0,0
2013-01,6,0,0
2013-02,17,0,0
2013-03,4,0,0
2013-04,2,0,0
2013-05,2,0,0
2013-06,2,0,0
2013-07,1,0,0
2013-08,1,0,0
2013-09,4,0,0
2013-10,3,0,0
2013-11,3,0,0
2013-12,3,0,0
2014-01,5,0,0
2014-02,7,0,0
2014-03,4,0,0
2014-04,2,0,0
2014-05,1,0,0
2014-06,1,0,0
2014-07,2,0,0
2014-08,2,0,0
2014-09,1,0,0
2014-10,4,0,0
2014-11,2,0,0
2014-12,5,0,0
2015-01,9,0,0
2015-02,18,0,0
2015-03,6,0,0
2015-04,1,0,0
2015-05,1,0,0
2015-06,1,0,0
2015-07,1,0,0
2015-08,1,0,0
2015-09,3,0,0
2015-10,5,0,0
2015-11,5,0,0
2015-12,3,0,0
2016-01,3,0,0
2016-02,9,0,0
2016-03,10,0,0
2016-04,5,0,0
2016-05,2,0,0
2016-06,3,0,0
2016-07,1,0,0
2016-08,1,0,0
2016-09,1,0,0
2016-10,4,0,0
