Catégorie : Toutes les catégories

Mois,grippe: (Franche-Comté),grippe -aviaire -vaccin: (Franche-Comté),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Franche-Comté)
2004-01,10,10,10
2004-02,30,12,12
2004-03,15,12,12
2004-04,12,12,12
2004-05,13,13,13
2004-06,14,14,14
2004-07,14,14,14
2004-08,10,10,10
2004-09,10,10,10
2004-10,9,9,9
2004-11,9,8,8
2004-12,8,8,8
2005-01,8,8,8
2005-02,9,7,7
2005-03,11,7,7
2005-04,10,0,0
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,24,7,7
2005-11,18,7,7
2005-12,7,7,7
2006-01,6,5,5
2006-02,14,5,5
2006-03,27,5,5
2006-04,9,5,5
2006-05,5,5,5
2006-06,7,7,7
2006-07,8,8,8
2006-08,9,9,9
2006-09,17,11,11
2006-10,5,4,4
2006-11,4,4,4
2006-12,11,9,9
2007-01,5,5,5
2007-02,11,9,9
2007-03,4,4,4
2007-04,4,4,4
2007-05,4,4,4
2007-06,4,4,4
2007-07,4,4,4
2007-08,6,6,6
2007-09,8,8,8
2007-10,8,8,8
2007-11,7,6,6
2007-12,7,3,3
2008-01,7,7,7
2008-02,5,5,5
2008-03,5,5,5
2008-04,3,3,3
2008-05,3,3,3
2008-06,3,3,3
2008-07,5,3,3
2008-08,3,3,3
2008-09,3,3,3
2008-10,4,3,3
2008-11,5,5,5
2008-12,5,5,5
2009-01,9,8,8
2009-02,7,6,6
2009-03,5,2,2
2009-04,18,17,5
2009-05,33,29,5
2009-06,9,7,2
2009-07,35,30,8
2009-08,30,29,4
2009-09,65,60,13
2009-10,33,30,7
2009-11,100,78,9
2009-12,80,64,10
2010-01,15,10,6
2010-02,6,6,6
2010-03,3,3,5
2010-04,3,4,5
2010-05,5,5,5
2010-06,3,3,3
2010-07,7,5,7
2010-08,5,4,4
2010-09,5,4,4
2010-10,4,2,2
2010-11,4,3,3
2010-12,5,5,4
2011-01,9,9,7
2011-02,6,6,4
2011-03,2,2,1
2011-04,1,1,1
2011-05,2,2,1
2011-06,1,1,1
2011-07,1,1,1
2011-08,1,1,1
2011-09,1,1,1
2011-10,3,2,2
2011-11,3,2,2
2011-12,4,3,3
2012-01,2,2,2
2012-02,7,7,6
2012-03,5,4,4
2012-04,2,2,2
2012-05,1,1,0
2012-06,1,0,0
2012-07,1,1,1
2012-08,1,1,1
2012-09,2,1,1
2012-10,4,3,2
2012-11,3,2,2
2012-12,4,4,3
2013-01,10,9,9
2013-02,13,13,12
2013-03,4,4,4
2013-04,3,2,2
2013-05,2,2,2
2013-06,1,1,1
2013-07,0,0,0
2013-08,0,0,0
2013-09,1,1,1
2013-10,3,2,2
2013-11,3,2,2
2013-12,2,2,2
2014-01,3,3,3
2014-02,8,8,7
2014-03,3,3,2
2014-04,2,2,1
2014-05,1,1,1
2014-06,0,0,0
2014-07,1,1,1
2014-08,1,1,1
2014-09,2,2,2
2014-10,4,2,2
2014-11,3,2,2
2014-12,4,3,3
2015-01,8,8,8
2015-02,21,20,19
2015-03,6,5,5
2015-04,2,2,2
2015-05,2,1,1
2015-06,1,1,1
2015-07,1,1,1
2015-08,1,1,1
2015-09,2,2,2
2015-10,5,3,2
2015-11,4,3,2
2015-12,5,3,3
2016-01,5,4,4
2016-02,8,7,7
2016-03,10,9,9
2016-04,5,5,5
2016-05,2,2,2
2016-06,1,1,1
2016-07,1,1,1
2016-08,0,1,1
2016-09,2,2,2
2016-10,5,2,2
