Catégorie : Toutes les catégories

Mois,grippe: (Haute-Normandie),grippe -aviaire -vaccin: (Haute-Normandie),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Haute-Normandie)
2004-01,9,7,7
2004-02,12,7,7
2004-03,9,9,9
2004-04,7,7,7
2004-05,6,6,6
2004-06,6,6,6
2004-07,5,5,5
2004-08,5,5,5
2004-09,5,5,5
2004-10,5,5,5
2004-11,8,7,10
2004-12,5,5,5
2005-01,7,7,7
2005-02,6,4,4
2005-03,4,4,4
2005-04,3,3,3
2005-05,3,3,3
2005-06,2,4,4
2005-07,6,6,6
2005-08,5,5,5
2005-09,12,5,5
2005-10,29,6,6
2005-11,13,4,3
2005-12,7,4,4
2006-01,15,4,4
2006-02,23,4,4
2006-03,30,9,9
2006-04,5,7,5
2006-05,4,2,2
2006-06,3,3,3
2006-07,2,2,2
2006-08,2,2,2
2006-09,1,2,2
2006-10,3,2,2
2006-11,6,3,3
2006-12,2,1,1
2007-01,4,3,3
2007-02,13,8,7
2007-03,2,3,3
2007-04,2,1,1
2007-05,2,1,1
2007-06,2,1,1
2007-07,4,2,2
2007-08,3,1,1
2007-09,2,1,1
2007-10,3,2,2
2007-11,4,2,2
2007-12,3,2,2
2008-01,7,5,5
2008-02,7,6,6
2008-03,3,2,2
2008-04,1,1,0
2008-05,2,1,1
2008-06,1,1,1
2008-07,1,1,1
2008-08,0,0,0
2008-09,1,1,1
2008-10,2,1,1
2008-11,2,1,1
2008-12,5,4,4
2009-01,7,7,7
2009-02,3,2,2
2009-03,2,1,1
2009-04,23,22,3
2009-05,21,20,4
2009-06,13,12,3
2009-07,29,27,7
2009-08,41,37,7
2009-09,70,64,14
2009-10,39,35,11
2009-11,100,80,13
2009-12,83,70,13
2010-01,19,16,3
2010-02,4,4,1
2010-03,4,4,1
2010-04,2,2,1
2010-05,2,2,0
2010-06,1,1,0
2010-07,0,0,0
2010-08,2,1,1
2010-09,4,2,2
2010-10,3,2,1
2010-11,4,3,2
2010-12,9,8,7
2011-01,11,10,9
2011-02,6,6,5
2011-03,2,2,2
2011-04,2,2,2
2011-05,1,1,1
2011-06,0,0,0
2011-07,1,1,1
2011-08,0,0,0
2011-09,1,1,1
2011-10,2,2,1
2011-11,4,3,2
2011-12,3,3,2
2012-01,3,2,2
2012-02,9,8,8
2012-03,6,6,5
2012-04,3,3,2
2012-05,2,2,2
2012-06,1,1,1
2012-07,1,1,1
2012-08,1,1,1
2012-09,2,1,1
2012-10,3,2,2
2012-11,4,3,3
2012-12,6,5,5
2013-01,10,10,9
2013-02,15,15,14
2013-03,6,6,5
2013-04,3,3,2
2013-05,2,2,2
2013-06,1,1,1
2013-07,0,0,0
2013-08,1,1,1
2013-09,2,2,1
2013-10,4,3,2
2013-11,4,2,2
2013-12,4,3,3
2014-01,4,4,3
2014-02,7,7,6
2014-03,3,3,3
2014-04,2,2,2
2014-05,1,1,1
2014-06,1,1,1
2014-07,1,1,1
2014-08,1,1,1
2014-09,2,1,1
2014-10,5,3,3
2014-11,5,2,2
2014-12,5,5,4
2015-01,11,11,10
2015-02,23,23,21
2015-03,5,5,5
2015-04,2,2,2
2015-05,2,1,1
2015-06,1,1,1
2015-07,1,1,1
2015-08,1,1,1
2015-09,2,1,1
2015-10,5,3,3
2015-11,5,3,3
2015-12,5,3,3
2016-01,8,6,6
2016-02,13,13,12
2016-03,23,22,21
2016-04,5,5,4
2016-05,2,2,2
2016-06,1,1,1
2016-07,1,1,1
2016-08,1,0,0
2016-09,2,2,2
2016-10,6,4,4
