Catégorie : Toutes les catégories

Mois,grippe: (Limousin),grippe -aviaire -vaccin: (Limousin),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Limousin)
2004-01,35,17,17
2004-02,18,18,18
2004-03,18,0,0
2004-04,18,0,0
2004-05,18,0,0
2004-06,18,0,0
2004-07,18,0,0
2004-08,18,0,0
2004-09,15,0,0
2004-10,15,0,0
2004-11,29,0,0
2004-12,15,0,0
2005-01,15,0,0
2005-02,15,15,15
2005-03,13,13,13
2005-04,18,13,13
2005-05,14,14,14
2005-06,18,18,18
2005-07,21,21,21
2005-08,21,15,15
2005-09,22,15,15
2005-10,42,14,14
2005-11,29,17,17
2005-12,14,21,21
2006-01,33,24,24
2006-02,48,26,26
2006-03,26,11,11
2006-04,23,11,11
2006-05,21,11,11
2006-06,21,11,11
2006-07,12,0,0
2006-08,12,0,0
2006-09,12,0,0
2006-10,12,0,0
2006-11,7,0,0
2006-12,10,0,0
2007-01,12,12,12
2007-02,14,12,12
2007-03,6,0,0
2007-04,6,0,0
2007-05,6,0,0
2007-06,6,0,0
2007-07,6,0,0
2007-08,10,0,0
2007-09,13,7,7
2007-10,5,5,5
2007-11,5,5,5
2007-12,5,5,5
2008-01,8,4,4
2008-02,7,5,5
2008-03,4,4,4
2008-04,4,4,4
2008-05,4,4,4
2008-06,5,5,5
2008-07,5,5,5
2008-08,4,4,4
2008-09,4,4,4
2008-10,4,4,4
2008-11,4,4,4
2008-12,4,4,4
2009-01,8,8,8
2009-02,5,5,5
2009-03,14,10,10
2009-04,24,22,6
2009-05,26,26,11
2009-06,11,11,5
2009-07,30,28,11
2009-08,62,57,17
2009-09,74,70,16
2009-10,46,35,8
2009-11,100,81,11
2009-12,67,64,10
2010-01,19,19,9
2010-02,12,9,5
2010-03,6,4,4
2010-04,5,5,5
2010-05,5,5,5
2010-06,7,7,5
2010-07,10,10,5
2010-08,12,12,6
2010-09,5,4,4
2010-10,5,4,4
2010-11,11,8,8
2010-12,6,6,6
2011-01,17,17,14
2011-02,11,10,8
2011-03,2,2,2
2011-04,2,2,2
2011-05,1,1,1
2011-06,1,1,1
2011-07,1,1,1
2011-08,1,1,1
2011-09,3,2,2
2011-10,2,2,2
2011-11,3,2,2
2011-12,4,3,3
2012-01,3,3,2
2012-02,12,12,11
2012-03,9,8,8
2012-04,3,3,3
2012-05,2,1,1
2012-06,2,2,1
2012-07,1,1,1
2012-08,1,2,2
2012-09,1,1,1
2012-10,4,2,2
2012-11,3,3,3
2012-12,7,7,6
2013-01,10,9,9
2013-02,17,17,15
2013-03,8,8,7
2013-04,3,3,3
2013-05,1,1,1
2013-06,1,1,1
2013-07,1,1,1
2013-08,1,1,1
2013-09,1,1,1
2013-10,5,3,2
2013-11,4,2,2
2013-12,4,3,3
2014-01,5,5,5
2014-02,13,12,9
2014-03,5,5,4
2014-04,2,2,1
2014-05,1,1,1
2014-06,1,1,0
2014-07,1,1,1
2014-08,0,0,0
2014-09,1,1,1
2014-10,4,2,2
2014-11,4,2,2
2014-12,4,4,4
2015-01,14,13,12
2015-02,31,30,29
2015-03,9,9,9
2015-04,2,2,1
2015-05,1,1,1
2015-06,1,1,1
2015-07,3,2,2
2015-08,2,1,1
2015-09,2,2,2
2015-10,4,3,3
2015-11,6,3,3
2015-12,12,5,4
2016-01,6,4,4
2016-02,9,8,8
2016-03,15,14,14
2016-04,13,9,8
2016-05,3,2,1
2016-06,1,1,1
2016-07,0,1,1
2016-08,2,1,1
2016-09,1,1,1
2016-10,5,2,2
