Catégorie : Toutes les catégories

Mois,grippe: (Nord-Pas-de-Calais),grippe -aviaire -vaccin: (Nord-Pas-de-Calais),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Nord-Pas-de-Calais)
2004-01,8,8,8
2004-02,10,2,2
2004-03,2,2,2
2004-04,2,2,2
2004-05,2,2,2
2004-06,2,2,2
2004-07,2,2,2
2004-08,2,2,2
2004-09,2,2,2
2004-10,9,3,3
2004-11,1,1,1
2004-12,3,3,3
2005-01,5,5,5
2005-02,11,11,11
2005-03,4,2,2
2005-04,3,2,2
2005-05,1,1,1
2005-06,1,1,1
2005-07,3,2,2
2005-08,3,2,1
2005-09,10,3,3
2005-10,35,9,8
2005-11,14,6,6
2005-12,10,4,4
2006-01,14,3,3
2006-02,28,7,6
2006-03,31,5,5
2006-04,8,2,2
2006-05,6,1,1
2006-06,3,1,1
2006-07,2,1,1
2006-08,2,1,1
2006-09,3,1,1
2006-10,5,2,2
2006-11,2,1,1
2006-12,4,2,2
2007-01,4,3,2
2007-02,12,7,7
2007-03,3,2,2
2007-04,2,1,1
2007-05,2,1,1
2007-06,2,1,1
2007-07,4,1,1
2007-08,2,1,1
2007-09,3,1,1
2007-10,6,3,3
2007-11,3,2,2
2007-12,3,2,2
2008-01,7,7,6
2008-02,6,5,5
2008-03,3,2,2
2008-04,2,1,1
2008-05,1,1,1
2008-06,1,0,0
2008-07,1,0,0
2008-08,1,0,0
2008-09,1,0,0
2008-10,3,2,2
2008-11,3,2,2
2008-12,5,4,4
2009-01,9,8,8
2009-02,4,3,3
2009-03,1,1,1
2009-04,26,25,5
2009-05,24,23,5
2009-06,15,14,4
2009-07,35,33,7
2009-08,51,47,12
2009-09,75,69,16
2009-10,33,29,7
2009-11,100,79,13
2009-12,71,60,12
2010-01,16,15,3
2010-02,5,5,2
2010-03,4,3,1
2010-04,2,1,1
2010-05,2,1,1
2010-06,1,1,0
2010-07,1,1,1
2010-08,1,1,1
2010-09,2,1,1
2010-10,4,2,2
2010-11,4,3,2
2010-12,7,6,5
2011-01,12,11,10
2011-02,5,5,4
2011-03,2,2,1
2011-04,1,1,1
2011-05,1,1,1
2011-06,1,1,1
2011-07,1,0,0
2011-08,1,0,0
2011-09,2,1,1
2011-10,2,2,1
2011-11,3,2,2
2011-12,3,3,3
2012-01,3,3,2
2012-02,9,9,9
2012-03,5,5,5
2012-04,2,2,1
2012-05,1,1,1
2012-06,1,1,1
2012-07,1,1,0
2012-08,1,1,0
2012-09,2,1,1
2012-10,3,2,2
2012-11,3,2,2
2012-12,6,6,5
2013-01,9,9,8
2013-02,14,14,13
2013-03,4,4,4
2013-04,3,3,2
2013-05,1,1,1
2013-06,1,1,1
2013-07,1,1,1
2013-08,1,1,1
2013-09,2,1,1
2013-10,3,2,1
2013-11,4,2,2
2013-12,4,3,3
2014-01,4,4,4
2014-02,7,7,6
2014-03,3,3,2
2014-04,2,2,1
2014-05,1,1,1
2014-06,1,1,1
2014-07,1,1,1
2014-08,1,1,1
2014-09,2,1,1
2014-10,4,3,2
2014-11,5,3,3
2014-12,6,5,5
2015-01,11,11,10
2015-02,21,21,19
2015-03,7,6,6
2015-04,2,2,2
2015-05,2,1,1
2015-06,1,1,1
2015-07,1,1,1
2015-08,1,1,1
2015-09,2,2,2
2015-10,4,3,3
2015-11,4,3,3
2015-12,5,4,4
2016-01,6,5,5
2016-02,11,10,10
2016-03,18,18,17
2016-04,5,5,4
2016-05,2,2,2
2016-06,1,1,1
2016-07,1,1,1
2016-08,1,1,1
2016-09,2,2,2
2016-10,6,4,3
