iter	Passed	Remaining
0	1	958
1	3	839
2	4	785
3	6	757
4	7	728
5	8	732
6	10	725
7	11	726
8	13	717
9	14	710
10	15	703
11	17	698
12	18	695
13	19	690
14	21	685
15	22	681
16	23	678
17	25	673
18	26	671
19	27	669
20	29	666
21	30	664
22	31	662
23	33	660
24	34	658
25	35	655
26	37	651
27	38	650
28	39	646
29	41	644
30	42	642
31	43	639
32	45	637
33	46	634
34	47	633
35	49	639
36	50	637
37	52	634
38	53	631
39	54	629
40	56	627
41	57	625
42	58	623
43	59	621
44	61	619
45	62	618
46	63	616
47	65	615
48	66	614
49	68	613
50	69	612
51	70	610
52	72	608
53	73	606
54	74	605
55	76	603
56	77	602
57	78	601
58	80	599
59	81	598
60	82	596
61	84	595
62	85	593
63	86	592
64	88	590
65	89	589
66	90	587
67	92	586
68	93	584
69	94	582
70	96	581
71	97	579
72	98	578
73	100	576
74	101	574
75	102	573
76	104	571
77	105	570
78	106	568
79	108	567
80	109	566
81	110	565
82	112	563
83	113	562
84	114	561
85	116	559
86	117	558
87	118	556
88	120	558
89	122	557
90	123	555
91	124	554
92	126	552
93	127	551
94	128	549
95	130	548
96	131	546
97	132	545
98	134	543
99	135	542
100	137	541
101	138	539
102	139	538
103	140	536
104	142	535
105	143	533
106	144	532
107	146	531
108	147	529
109	148	528
110	150	526
111	151	525
112	153	524
113	154	522
114	155	521
115	157	519
116	158	518
117	159	517
118	161	515
119	162	514
120	163	512
121	165	511
122	166	509
123	167	508
124	168	506
125	170	505
126	171	503
127	172	502
128	174	500
129	175	499
130	176	498
131	178	496
132	179	495
133	180	494
134	182	492
135	183	491
136	184	489
137	186	488
138	187	486
139	188	485
140	189	483
141	191	482
142	192	481
143	194	479
144	195	478
145	196	477
146	198	476
147	199	474
148	200	473
149	202	472
150	203	470
151	205	469
152	206	468
153	208	467
154	209	465
155	210	464
156	212	463
157	213	462
158	214	460
159	216	459
160	217	458
161	219	457
162	220	455
163	221	454
164	223	453
165	224	451
166	225	450
167	227	449
168	228	447
169	229	446
170	231	444
