Id,region_code,region_name,TauxGrippe,week_year,date,saison,tminsol,nbas,n,td,ff,t,u,vv,TauxGrippe_lag1,TauxGrippe_lag2,TauxGrippe_lag3,TauxGrippe_lag4,TauxGrippe_ma4,TauxGrippe_ma8
14717,11,ILE-DE-FRANCE,66,200401,2003-12-29,Hiver,269.9,6.0,88.90625,271.296875,3.21875,273.11875,87.21875,9022.58064516129,,,,,66.0,66.0
14695,11,ILE-DE-FRANCE,74,200402,2004-01-05,Hiver,275.57857142857137,5.232142857142857,83.125,278.2857142857143,4.375,280.0910714285714,88.55357142857143,13208.92857142857,66.0,,,,70.0,70.0
14673,11,ILE-DE-FRANCE,88,200403,2004-01-12,Hiver,275.72142857142853,4.107142857142857,72.23214285714286,277.2214285714286,6.0625,279.62321428571425,84.85714285714286,19678.571428571428,74.0,66.0,,,76.0,76.0
14651,11,ILE-DE-FRANCE,26,200404,2004-01-19,Hiver,274.8642857142857,6.423076923076923,89.53703703703704,277.4,3.2089285714285714,278.73035714285714,91.42857142857144,10885.185185185184,88.0,74.0,66.0,,63.5,63.5
14629,11,ILE-DE-FRANCE,17,200405,2004-01-26,Hiver,272.2928571428571,4.705882352941177,72.81818181818181,274.06071428571425,5.973214285714286,276.81071428571425,82.80357142857143,17067.272727272728,26.0,88.0,74.0,66.0,51.25,54.2
14607,11,ILE-DE-FRANCE,25,200406,2004-02-02,Hiver,277.72142857142853,3.7142857142857144,71.69642857142857,279.42857142857144,5.623214285714285,283.75357142857143,75.25,22982.14285714286,17.0,26.0,88.0,74.0,39.0,49.333333333333336
14585,11,ILE-DE-FRANCE,22,200407,2004-02-09,Hiver,269.57857142857137,4.595238095238095,59.36363636363637,274.6821428571429,2.3685185185185187,277.9089285714286,80.73214285714286,12351.851851851852,25.0,17.0,26.0,88.0,22.5,45.42857142857143
14563,11,ILE-DE-FRANCE,4,200408,2004-02-16,Hiver,273.15,5.153846153846154,73.125,273.1482142857143,5.564285714285715,277.575,73.67857142857143,14642.857142857143,22.0,25.0,17.0,26.0,17.0,40.25
14541,11,ILE-DE-FRANCE,2,200409,2004-02-23,Hiver,267.0071428571428,4.130434782608695,52.27272727272727,269.8910714285714,3.417857142857143,274.24107142857144,74.28571428571429,17258.18181818182,4.0,22.0,25.0,17.0,13.25,32.25
14519,11,ILE-DE-FRANCE,28,200410,2004-03-01,Printemps,269.57857142857137,5.045454545454546,61.18181818181818,273.1410714285714,3.292857142857143,277.3964285714286,75.41071428571429,10696.363636363636,2.0,4.0,22.0,25.0,14.0,26.5
14497,11,ILE-DE-FRANCE,25,200411,2004-03-08,Printemps,272.57857142857137,5.288461538461538,72.76785714285714,273.97363636363633,4.4,277.8681818181818,76.8,14035.714285714286,28.0,2.0,4.0,22.0,14.75,18.625
14475,11,ILE-DE-FRANCE,34,200412,2004-03-15,Printemps,277.43571428571425,4.551020408163265,63.92857142857143,281.1482142857143,4.992857142857143,285.275,77.375,18127.272727272728,25.0,28.0,2.0,4.0,22.25,19.625
14453,11,ILE-DE-FRANCE,16,200413,2004-03-22,Printemps,271.4833333333333,3.5238095238095237,38.45454545454545,273.09727272727275,3.9981818181818185,278.4590909090909,70.63636363636364,17636.363636363636,34.0,25.0,28.0,2.0,25.75,19.5
14431,11,ILE-DE-FRANCE,13,200414,2004-03-29,Printemps,276.15,3.8372093023255816,57.589285714285715,278.0839285714286,4.7124999999999995,284.76785714285717,66.07142857142857,20303.571428571428,16.0,34.0,25.0,28.0,22.0,18.0
14409,11,ILE-DE-FRANCE,15,200415,2004-04-05,Printemps,274.43571428571425,5.654545454545454,78.39285714285714,276.2142857142857,4.889285714285714,280.65,74.55357142857143,17267.85714285714,13.0,16.0,34.0,25.0,19.5,17.125
14387,11,ILE-DE-FRANCE,1,200416,2004-04-12,Printemps,273.8642857142857,3.744186046511628,52.45454545454545,277.25,3.8982142857142854,283.2232142857143,68.75,17428.571428571428,15.0,13.0,16.0,34.0,11.25,16.75
14365,11,ILE-DE-FRANCE,2,200417,2004-04-19,Printemps,277.15,3.636363636363636,62.27272727272727,280.06607142857143,4.055357142857143,285.73214285714283,70.39285714285714,23036.363636363636,1.0,15.0,13.0,16.0,7.75,16.75
14343,11,ILE-DE-FRANCE,7,200418,2004-04-26,Printemps,277.15,3.272727272727273,66.07142857142857,281.2625,2.7214285714285715,286.4375,73.80357142857143,18339.285714285714,2.0,1.0,15.0,13.0,6.25,14.125
14321,11,ILE-DE-FRANCE,8,200419,2004-05-03,Printemps,276.43571428571425,4.716981132075472,78.0,279.7910714285714,4.832142857142856,283.0,81.98214285714286,18226.415094339623,7.0,2.0,1.0,15.0,4.5,12.0
14299,11,ILE-DE-FRANCE,5,200420,2004-05-10,Printemps,277.57857142857137,3.690909090909091,56.42857142857143,281.56964285714287,4.191071428571428,286.2107142857143,74.91071428571429,14625.0,8.0,7.0,2.0,1.0,5.5,8.375
14277,11,ILE-DE-FRANCE,2,200421,2004-05-17,Printemps,278.8642857142857,1.6875,20.545454545454547,281.5839285714286,3.855357142857143,289.6035714285714,61.464285714285715,22054.545454545456,5.0,8.0,7.0,2.0,5.5,6.625
14255,11,ILE-DE-FRANCE,1,200422,2004-05-24,Printemps,277.0071428571428,1.5,47.94642857142857,280.00357142857143,2.832142857142857,288.74107142857144,58.875,21982.14285714286,2.0,5.0,8.0,7.0,4.0,5.125
