feature,importance
TauxGrippe_hist_week_mean,0.14511219
TauxGrippe_week_global_mean,0.13549069
month_sin,0.07064122
TauxGrippe_hist_month_mean,0.06785843
saison_encoded,0.040694673
rr24,0.035202425
rr12,0.031750128
week_of_year,0.03150583
tminsol,0.031470153
vv,0.029043278
TauxGrippe_hist_season_mean,0.028834296
TauxGrippe_region_mean,0.02846439
td,0.028093278
t,0.027384534
rr6,0.026701285
pres,0.02667517
ff,0.025962697
n,0.023886431
week_sin,0.023840433
month_cos,0.023725448
u,0.022975473
region_code,0.022539325
rr3,0.022401337
month,0.018435242
week_cos,0.017547153
TauxGrippe_region_std,0.013764521
