numer_sta,region_code,distance_km
7005,22,0.0
7015,22,0.0
7020,25,0.0
7027,25,0.0
7037,25,0.0
7110,53,0.0
7117,53,0.0
7130,53,0.0
7139,53,0.0
7149,53,0.0
7168,53,0.0
7181,53,0.0
7190,53,0.0
7207,52,0.0
7222,52,0.0
7240,52,0.0
7255,24,0.0
7280,24,0.0
7299,24,0.0
7314,54,0.0
7335,54,0.0
7434,83,0.0
7460,26,0.0
7471,26,0.0
7481,26,0.0
7510,42,0.0
7535,72,0.0
7558,72,0.0
7577,72,0.0
7591,82,0.0
7607,73,0.0
7621,73,0.0
7627,73,0.0
7630,73,0.0
7643,91,0.0
7650,91,0.0
7661,91,0.0
7690,93,0.0
7747,94,0.0
7761,94,0.0
7790,94,0.0
61970,11,0.0
61972,11,0.0
61976,11,0.0
61980,11,0.0
61996,11,0.0
61997,11,0.0
61998,11,0.0
67005,11,0.0
71805,11,0.0
78897,11,0.0
78922,11,0.0
78925,11,0.0
81401,11,0.0
81405,11,0.0
81408,11,0.0
89642,11,0.0
61968,11,0.0
9999,41,0.0
9999,74,0.0
9999,43,0.0
9999,21,0.0
9999,23,0.0
9999,31,0.0
